ticker,name,exchange,category name,country
PHOL-R.BK,Phol Dhanya Public Company Limited,SET,,Thailand
PACE.BK,Pace Development Corporation Public Company Limited,SET,,Thailand
TAE.BK,Thai Agro Energy Public Company Limited,SET,,Thailand
WHAPF.BK,WHA Premium Factory and Warehouse Freehold and Leasehold Property Fund,SET,,Thailand
TPCH.BK,TPC Power Holding Public Company Limited,SET,,Thailand
JUBILE.BK,Jubilee Enterprise Public Company Limited,SET,,Thailand
JTS.BK,Jasmine Telecom Systems Public Company Limited,SET,,Thailand
JMT-R.BK,JMT Network Services Public Company Limited,SET,,Thailand
JASIF.BK,Jasmine Broadband Internet Infrastructure Fund,SET,,Thailand
JCT.BK,Jack Chia Industries (Thailand) Public Company Limited,SET,,Thailand
JWD.BK,JWD Infologistics Public Company Limited,SET,,Thailand
JMART.BK,Jay Mart Public Company Limited,SET,,Thailand
NPK-R.BK,New Plus Knitting Public Company Limited,SET,,Thailand
KTC.BK,Krungthai Card Public Company Limited,SET,,Thailand
KTC-R.BK,Krungthai Card Public Company Limited,SET,,Thailand
KTB.BK,Krung Thai Bank Public Company Limited,SET,,Thailand
KGI.BK,KGI Securities (Thailand) Public Company Limited,SET,,Thailand
KC.BK,K.C. Property Public Company Limited,SET,,Thailand
KASET.BK,Thai HA Public Company Limited,SET,,Thailand
KPNPF.BK,KPN Property Fund,SET,,Thailand
KWC-R.BK,Krungdhep Sophon Public Company Limited,SET,,Thailand
POMPUI.BK,KUANG PEI SAN FOOD PRODUCTS,SET,,Thailand
NEP-R.BK,NEP Realty and Industry Public Company Limited,SET,,Thailand
UPA-R.BK,United Power of Asia Public Company Limited,SET,,Thailand
QHPF.BK,Quality Houses Leasehold Property Fund,SET,,Thailand
QLT-R.BK,Qualitech Public Company Limited,SET,,Thailand
QH.BK,Quality Houses Public Company Limited,SET,,Thailand
QTC-R.BK,QTC Energy Public Company Limited,SET,,Thailand
Q-CON-R.BK,Quality Construction Products Public Company Limited,SET,,Thailand
QHOP.BK,Quality Hospitality Leasehold Property Fund,SET,,Thailand
QLT.BK,Qualitech Public Company Limited,SET,,Thailand
QHHR.BK,Quality Houses Hotel and Residence Freehold and Leasehold Property Fund,SET,,Thailand
QH-R.BK,Quality Houses Public Company Limited,SET,,Thailand
QTC.BK,QTC Energy Public Company Limited,SET,,Thailand
Q-CON.BK,Quality Construction Products Public Company Limited,SET,,Thailand
SPRC-R.BK,Star Petroleum Refining Public Company Limited,SET,,Thailand
SVH.BK,Samitivej Public Company Limited,SET,,Thailand
UWC-R.BK,Ua Withya Public Company Limited,SET,,Thailand
UPF-R.BK,Union Pioneer Public Company Limited,SET,,Thailand
UNIQ.BK,Unique Engineering And Construction Public Company Limited,SET,,Thailand
VIBHA.BK,Vibhavadi Medical Center Public Company Limited,SET,,Thailand
VARO.BK,Varopakorn Public Company Limited,SET,,Thailand
VIH.BK,Srivichaivejvivat Public Company Limited,SET,,Thailand
WIN-R.BK,Wyncoast Industrial Park Public Company Limited,SET,,Thailand
TWPC-R.BK,Thai Wah Public Company Limited,SET,,Thailand
WR.BK,WE RETAIL PUBLIC COMPANY LIMITE,SET,,Thailand
WHA.BK,WHA Corporation Public Company Limited,SET,,Thailand
WHABT.BK,WHA Business Complex Freehold and Leasehold Real Estate Investment Trust,SET,,Thailand
TWS.BK,Thai Wah Starch Public Company Limited,SET,,Thailand
WG.BK,White Group Public Company Limited,SET,,Thailand
WORLD-R.BK,WORLD CORPORATION PUBLIC COMPAN,SET,,Thailand
WHART.BK,WHA Premium Growth Freehold And Leasehold Real Estate Investment Trust,SET,,Thailand
WIIK.BK,Wiik & Hoeglund Public Company Limited,SET,,Thailand
SPA-R.BK,Siam Wellness Group Public Company Limited,SET,,Thailand
XO-R.BK,Exotic Food Public Company Limited,SET,,Thailand
XO.BK,Exotic Food Public Company Limited,SET,,Thailand
YUASA.BK,Yuasa Battery (Thailand) Public Company Limited,SET,,Thailand
YCI.BK,YONG THAI PUBLIC COMPANY LIMITE,SET,,Thailand
YUASA-R.BK,Yuasa Battery (Thailand) Public Company Limited,SET,,Thailand
YNP-R.BK,YARNAPUND PUBLIC COMPANY LIMITE,SET,,Thailand
YCI-R.BK,YONG THAI PUBLIC COMPANY LIMITE,SET,,Thailand
YNP.BK,YARNAPUND PUBLIC COMPANY LIMITE,SET,,Thailand
ZMICO-R.BK,Seamico Securities Public Company Limited,SET,,Thailand
ZMICO.BK,Seamico Securities Public Company Limited,SET,,Thailand
AAV.BK,Asia Aviation Public Company Limited,SET,,Thailand
AAV-R.BK,Asia Aviation Public Company Limited,SET,,Thailand
ABPIF.BK,Amata B. Grimm Power Plant Infrastructure Fund,SET,,Thailand
ABICO-R.BK,Abico Holdings Public Company Limited,SET,,Thailand
ABICO.BK,Abico Holdings Public Company Limited,SET,,Thailand
EA-R.BK,Energy Absolute Public Company Limited,SET,,Thailand
ABC-R.BK,Asset Bright Public Company Limited,SET,,Thailand
EA.BK,Energy Absolute Public Company Limited,SET,,Thailand
ABC.BK,Digital Tech Planet Public Company Limited,SET,,Thailand
